btree_min_degree,index_page_size_bytes,index_file_pages,index_file_size_bytes,search_p95_us,search_avg_us,insert_p95_us,insert_avg_us,correctness_ok,benchmark_json,index_file_path
64,4096,394,1613824,0.160000,0.088694,0.380000,0.291533,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_64_page_4096.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d64_p4096.idx
128,4096,394,1613824,0.160000,0.094074,0.120000,0.187702,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_128_page_4096.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results3/index_files/btree_tuning/btree_d128_p4096.idx
256,4096,394,1613824,0.160000,0.09888,0.141000,0.179559,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_256_page_4096.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d256_p4096.idx
512,4096,394,1613824,0.081000,0.073655,0.290000,0.206240,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_512_page_4096.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d512_p4096.idx
64,8192,258,2113536,0.170000,0.092916,0.301000,0.256673,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_64_page_8192.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d64_p8192.idx
128,8192,258,2113536,0.200000,0.107935,0.291000,0.273770,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_128_page_8192.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d128_p8192.idx
256,8192,258,2113536,0.090000,0.078694,0.291000,0.224544,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_256_page_8192.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d256_p8192.idx
512,8192,258,2113536,0.100000,0.082964,0.160000,0.181064,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_512_page_8192.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d512_p8192.idx
64,16384,258,4227072,0.221000,0.101881,0.311000,0.279243,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_64_page_16384.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d64_p16384.idx
128,16384,258,4227072,0.150000,0.084122,0.221000,0.239728,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_128_page_16384.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d128_p16384.idx
256,16384,258,4227072,0.140000,0.086672,0.150000,0.193535,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_256_page_16384.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d256_p16384.idx
512,16384,258,4227072,0.100000,0.078143,0.230000,0.212025,true,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/btree_tuning_runs/btree_degree_512_page_16384.json,/home/sujayb/Desktop/Sem 6/Data_Systems/Project/RookDB/Benchmarking/results/index_files/btree_tuning/btree_d512_p16384.idx
